window_index,start_ps,end_ps,toggled_bits,toggle_events
15640,1251200000,1251280000,20548,3970
15641,1251280000,1251360000,22268,4221
15642,1251360000,1251440000,16016,3361
15643,1251440000,1251520000,13310,2485
15644,1251520000,1251600000,21528,4002
15645,1251600000,1251680000,19934,3885
15646,1251680000,1251760000,16115,3443
15647,1251760000,1251840000,14341,2733
15648,1251840000,1251920000,20017,3992
15649,1251920000,1252000000,18719,3621
15650,1252000000,1252080000,15993,3364
15651,1252080000,1252160000,15991,3081
15652,1252160000,1252240000,21735,4001
15653,1252240000,1252320000,17561,3610
15654,1252320000,1252400000,15651,3129
15655,1252400000,1252480000,17376,3305
15656,1252480000,1252560000,20086,4005
15657,1252560000,1252640000,17314,3590
15658,1252640000,1252720000,14812,3022
15659,1252720000,1252800000,17654,3437
15660,1252800000,1252880000,21694,4107
15661,1252880000,1252960000,16142,3573
15662,1252960000,1253040000,12687,2584
15663,1253040000,1253120000,18787,3775
15664,1253120000,1253200000,21001,4155
15665,1253200000,1253280000,16688,3559
15666,1253280000,1253360000,12439,2364
15667,1253360000,1253440000,20998,3982
15668,1253440000,1253520000,23097,4301
15669,1253520000,1253600000,16301,3483
15670,1253600000,1253680000,12261,2294
15671,1253680000,1253760000,20371,3971
15672,1253760000,1253840000,21518,4222
15673,1253840000,1253920000,16179,3361
15674,1253920000,1254000000,13383,2485
15675,1254000000,1254080000,22304,3999
15676,1254080000,1254160000,20030,3880
15677,1254160000,1254240000,16422,3443
15678,1254240000,1254320000,14274,2733
15679,1254320000,1254400000,19909,3992
15680,1254400000,1254480000,18650,3623
15681,1254480000,1254560000,16183,3364
15682,1254560000,1254640000,16712,3081
15683,1254640000,1254720000,22006,4006
15684,1254720000,1254800000,17745,3617
15685,1254800000,1254880000,15686,3129
15686,1254880000,1254960000,17137,3305
15687,1254960000,1255040000,20628,4006
15688,1255040000,1255120000,17589,3593
15689,1255120000,1255200000,15092,3022
15690,1255200000,1255280000,18007,3437
15691,1255280000,1255360000,21771,4108
15692,1255360000,1255440000,16717,3568
15693,1255440000,1255520000,12782,2584
15694,1255520000,1255600000,19192,3776
15695,1255600000,1255680000,21933,4149
15696,1255680000,1255760000,17069,3556
15697,1255760000,1255840000,12467,2364
15698,1255840000,1255920000,21424,3981
15699,1255920000,1256000000,23637,4307
15700,1256000000,1256080000,16499,3482
15701,1256080000,1256160000,12160,2294
15702,1256160000,1256240000,20478,3976
15703,1256240000,1256320000,22246,4215
15704,1256320000,1256400000,16263,3361
15705,1256400000,1256480000,13266,2485
15706,1256480000,1256560000,22163,4008
15707,1256560000,1256640000,20048,3891
15708,1256640000,1256720000,16237,3443
15709,1256720000,1256800000,13249,2733
15710,1256800000,1256880000,19185,3992
15711,1256880000,1256960000,18539,3621
15712,1256960000,1257040000,15501,3364
15713,1257040000,1257120000,16113,3081
15714,1257120000,1257200000,21862,4007
15715,1257200000,1257280000,17721,3610
15716,1257280000,1257360000,15291,3129
15717,1257360000,1257440000,16983,3305
15718,1257440000,1257520000,20295,4011
15719,1257520000,1257600000,17479,3590
15720,1257600000,1257680000,14867,3022
15721,1257680000,1257760000,18001,3437
15722,1257760000,1257840000,22386,4107
15723,1257840000,1257920000,16629,3579
15724,1257920000,1258000000,13150,2584
15725,1258000000,1258080000,19556,3775
15726,1258080000,1258160000,21224,4155
15727,1258160000,1258240000,16937,3559
15728,1258240000,1258320000,12694,2364
15729,1258320000,1258400000,21209,3982
15730,1258400000,1258480000,23227,4301
15731,1258480000,1258560000,16331,3483
15732,1258560000,1258640000,12310,2294
15733,1258640000,1258720000,20243,3971
15734,1258720000,1258800000,22578,4222
15735,1258800000,1258880000,15964,3361
15736,1258880000,1258960000,13321,2485
15737,1258960000,1259040000,21910,3999
15738,1259040000,1259120000,20086,3880
15739,1259120000,1259200000,16460,3443
15740,1259200000,1259280000,14206,2733
15741,1259280000,1259360000,20226,3989
15742,1259360000,1259440000,19243,3620
15743,1259440000,1259520000,16040,3364
15744,1259520000,1259600000,16346,3081
15745,1259600000,1259680000,22471,4006
15746,1259680000,1259760000,18220,3617
15747,1259760000,1259840000,15458,3129
15748,1259840000,1259920000,17464,3305
15749,1259920000,1260000000,21079,4006
15750,1260000000,1260080000,17838,3593
15751,1260080000,1260160000,15283,3022
15752,1260160000,1260240000,18413,3437
15753,1260240000,1260320000,22000,4108
15754,1260320000,1260400000,16468,3568
15755,1260400000,1260480000,13431,2584
15756,1260480000,1260560000,19521,3776
15757,1260560000,1260640000,21382,4149
15758,1260640000,1260720000,17213,3556
15759,1260720000,1260800000,12890,2364
15760,1260800000,1260880000,21494,3981
15761,1260880000,1260960000,23279,4307
15762,1260960000,1261040000,16680,3482
15763,1261040000,1261120000,12669,2294
15764,1261120000,1261200000,20718,3970
15765,1261200000,1261280000,22278,4215
15766,1261280000,1261360000,16305,3361
15767,1261360000,1261440000,13070,2485
15768,1261440000,1261520000,21923,4002
15769,1261520000,1261600000,20066,3885
15770,1261600000,1261680000,16160,3443
15771,1261680000,1261760000,13926,2733
15772,1261760000,1261840000,20042,4001
15773,1261840000,1261920000,19043,3624
15774,1261920000,1262000000,15878,3364
15775,1262000000,1262080000,16351,3081
15776,1262080000,1262160000,22397,4001
15777,1262160000,1262240000,17995,3610
15778,1262240000,1262320000,15235,3129
15779,1262320000,1262400000,16732,3305
15780,1262400000,1262480000,20616,4011
15781,1262480000,1262560000,17531,3590
15782,1262560000,1262640000,14711,3022
15783,1262640000,1262720000,17948,3437
15784,1262720000,1262800000,22750,4107
15785,1262800000,1262880000,16340,3579
15786,1262880000,1262960000,12756,2584
15787,1262960000,1263040000,19073,3775
15788,1263040000,1263120000,21830,4155
15789,1263120000,1263200000,16844,3559
15790,1263200000,1263280000,12676,2364
15791,1263280000,1263360000,21417,3982
15792,1263360000,1263440000,24022,4301
15793,1263440000,1263520000,16278,3483
15794,1263520000,1263600000,12381,2294
15795,1263600000,1263680000,20036,3974
15796,1263680000,1263760000,22837,4231
15797,1263760000,1263840000,16021,3361
15798,1263840000,1263920000,13398,2485
15799,1263920000,1264000000,22230,3999
15800,1264000000,1264080000,20293,3880
15801,1264080000,1264160000,16352,3443
15802,1264160000,1264240000,14330,2733
15803,1264240000,1264320000,20185,3989
15804,1264320000,1264400000,19115,3620
15805,1264400000,1264480000,16118,3364
15806,1264480000,1264560000,16974,3081
15807,1264560000,1264640000,22717,4012
15808,1264640000,1264720000,18204,3617
15809,1264720000,1264800000,15807,3129
15810,1264800000,1264880000,18048,3305
15811,1264880000,1264960000,21362,4006
15812,1264960000,1265040000,17894,3593
15813,1265040000,1265120000,15227,3022
15814,1265120000,1265200000,18169,3437
15815,1265200000,1265280000,22408,4114
15816,1265280000,1265360000,16693,3574
15817,1265360000,1265440000,13148,2584
15818,1265440000,1265520000,19777,3776
15819,1265520000,1265600000,21795,4152
15820,1265600000,1265680000,17186,3559
15821,1265680000,1265760000,12984,2364
15822,1265760000,1265840000,21759,3981
15823,1265840000,1265920000,23701,4307
15824,1265920000,1266000000,16527,3482
15825,1266000000,1266080000,12463,2294
15826,1266080000,1266160000,20459,3976
15827,1266160000,1266240000,22115,4215
15828,1266240000,1266320000,15985,3361
15829,1266320000,1266400000,13088,2485
15830,1266400000,1266480000,21902,4002
15831,1266480000,1266560000,20303,3885
15832,1266560000,1266640000,16347,3443
15833,1266640000,1266720000,14288,2733
15834,1266720000,1266800000,20579,3992
15835,1266800000,1266880000,19025,3621
15836,1266880000,1266960000,16283,3364
15837,1266960000,1267040000,16886,3081
15838,1267040000,1267120000,22284,4001
15839,1267120000,1267200000,18119,3610
15840,1267200000,1267280000,15925,3129
