window_index,start_ps,end_ps,toggled_bits,toggle_events
9408,752640000,752720000,13018,2413
9409,752720000,752800000,21906,4061
9410,752800000,752880000,22761,4283
9411,752880000,752960000,16057,3405
9412,752960000,753040000,13917,2604
9413,753040000,753120000,22443,4100
9414,753120000,753200000,20413,3933
9415,753200000,753280000,16184,3517
9416,753280000,753360000,13673,2829
9417,753360000,753440000,21382,4084
9418,753440000,753520000,19285,3672
9419,753520000,753600000,15247,3438
9420,753600000,753680000,16365,3178
9421,753680000,753760000,22441,4101
9422,753760000,753840000,18259,3663
9423,753840000,753920000,14895,3207
9424,753920000,754000000,16875,3400
9425,754000000,754080000,23192,4102
9426,754080000,754160000,17559,3638
9427,754160000,754240000,14513,3108
9428,754240000,754320000,17761,3532
9429,754320000,754400000,22577,4195
9430,754400000,754480000,16200,3613
9431,754480000,754560000,13102,2694
9432,754560000,754640000,19374,3864
9433,754640000,754720000,22689,4226
9434,754720000,754800000,16749,3600
9435,754800000,754880000,12746,2483
9436,754880000,754960000,20922,4070
9437,754960000,755040000,23642,4370
9438,755040000,755120000,15908,3525
9439,755120000,755200000,12943,2413
9440,755200000,755280000,21036,4058
9441,755280000,755360000,22818,4278
9442,755360000,755440000,15484,3405
9443,755440000,755520000,13530,2604
9444,755520000,755600000,21705,4089
9445,755600000,755680000,19633,3934
9446,755680000,755760000,16027,3517
9447,755760000,755840000,14421,2829
9448,755840000,755920000,21647,4087
9449,755920000,756000000,19659,3661
9450,756000000,756080000,15883,3438
9451,756080000,756160000,16356,3178
9452,756160000,756240000,23013,4102
9453,756240000,756320000,18420,3656
9454,756320000,756400000,15591,3207
9455,756400000,756480000,17769,3400
9456,756480000,756560000,22475,4099
9457,756560000,756640000,17766,3633
9458,756640000,756720000,15085,3108
9459,756720000,756800000,18247,3532
9460,756800000,756880000,22535,4210
9461,756880000,756960000,16938,3618
9462,756960000,757040000,13219,2694
9463,757040000,757120000,19948,3863
9464,757120000,757200000,22900,4226
9465,757200000,757280000,16708,3603
9466,757280000,757360000,12991,2483
9467,757360000,757440000,21397,4071
9468,757440000,757520000,24021,4378
9469,757520000,757600000,16265,3524
9470,757600000,757680000,12663,2413
9471,757680000,757760000,21345,4061
9472,757760000,757840000,23285,4283
9473,757840000,757920000,15872,3405
9474,757920000,758000000,13768,2604
9475,758000000,758080000,21862,4094
9476,758080000,758160000,20942,3941
9477,758160000,758240000,16497,3517
9478,758240000,758320000,14659,2829
9479,758320000,758400000,21472,4095
9480,758400000,758480000,19066,3681
9481,758480000,758560000,16288,3438
9482,758560000,758640000,17084,3178
9483,758640000,758720000,22917,4111
9484,758720000,758800000,18829,3663
9485,758800000,758880000,15573,3207
9486,758880000,758960000,17283,3400
9487,758960000,759040000,22466,4102
9488,759040000,759120000,17549,3638
9489,759120000,759200000,15186,3108
9490,759200000,759280000,18197,3532
9491,759280000,759360000,22152,4207
9492,759360000,759440000,17044,3613
9493,759440000,759520000,13228,2694
9494,759520000,759600000,19398,3864
9495,759600000,759680000,22690,4220
9496,759680000,759760000,16970,3600
9497,759760000,759840000,12924,2483
9498,759840000,759920000,21184,4070
9499,759920000,760000000,23651,4370
9500,760000000,760080000,16233,3525
9501,760080000,760160000,12775,2413
9502,760160000,760240000,21199,4064
9503,760240000,760320000,22929,4278
9504,760320000,760400000,15851,3405
9505,760400000,760480000,13661,2604
9506,760480000,760560000,22314,4089
9507,760560000,760640000,20833,3934
9508,760640000,760720000,16434,3517
9509,760720000,760800000,14276,2829
9510,760800000,760880000,21416,4090
9511,760880000,760960000,20021,3664
9512,760960000,761040000,15822,3438
9513,761040000,761120000,16618,3178
9514,761120000,761200000,22171,4096
9515,761200000,761280000,18276,3656
9516,761280000,761360000,15442,3207
9517,761360000,761440000,17782,3400
9518,761440000,761520000,22777,4099
9519,761520000,761600000,17934,3633
9520,761600000,761680000,15154,3108
9521,761680000,761760000,18555,3532
9522,761760000,761840000,23358,4200
9523,761840000,761920000,17637,3618
9524,761920000,762000000,13434,2694
9525,762000000,762080000,20038,3863
9526,762080000,762160000,22988,4226
9527,762160000,762240000,17130,3603
9528,762240000,762320000,12922,2483
9529,762320000,762400000,21395,4071
9530,762400000,762480000,23794,4370
9531,762480000,762560000,16386,3524
9532,762560000,762640000,12771,2413
9533,762640000,762720000,21813,4061
9534,762720000,762800000,22944,4283
9535,762800000,762880000,15782,3405
9536,762880000,762960000,13856,2604
9537,762960000,763040000,22387,4094
9538,763040000,763120000,20746,3933
9539,763120000,763200000,16413,3517
9540,763200000,763280000,14334,2829
9541,763280000,763360000,21420,4087
9542,763360000,763440000,19639,3675
9543,763440000,763520000,15956,3438
9544,763520000,763600000,16881,3178
9545,763600000,763680000,22700,4107
9546,763680000,763760000,18863,3663
9547,763760000,763840000,15628,3207
9548,763840000,763920000,17920,3400
9549,763920000,764000000,22546,4102
9550,764000000,764080000,17309,3638
9551,764080000,764160000,15124,3108
9552,764160000,764240000,18165,3532
9553,764240000,764320000,21694,4195
9554,764320000,764400000,16600,3613
9555,764400000,764480000,13297,2694
9556,764480000,764560000,19562,3864
9557,764560000,764640000,21786,4220
9558,764640000,764720000,16884,3600
9559,764720000,764800000,13207,2483
9560,764800000,764880000,21564,4070
9561,764880000,764960000,23713,4370
9562,764960000,765040000,16336,3525
9563,765040000,765120000,12880,2413
9564,765120000,765200000,21124,4058
9565,765200000,765280000,23064,4278
9566,765280000,765360000,15681,3405
9567,765360000,765440000,13399,2604
9568,765440000,765520000,22281,4089
9569,765520000,765600000,20853,3946
9570,765600000,765680000,15976,3517
9571,765680000,765760000,14537,2829
9572,765760000,765840000,22037,4090
9573,765840000,765920000,19964,3664
9574,765920000,766000000,15846,3438
9575,766000000,766080000,16694,3178
9576,766080000,766160000,22351,4096
9577,766160000,766240000,18284,3656
9578,766240000,766320000,15556,3207
9579,766320000,766400000,17795,3400
9580,766400000,766480000,22799,4108
9581,766480000,766560000,17863,3636
9582,766560000,766640000,14870,3108
9583,766640000,766720000,17961,3532
9584,766720000,766800000,22907,4200
9585,766800000,766880000,16646,3618
9586,766880000,766960000,13004,2694
9587,766960000,767040000,19099,3863
9588,767040000,767120000,23228,4226
9589,767120000,767200000,16681,3603
9590,767200000,767280000,12775,2483
9591,767280000,767360000,21281,4071
9592,767360000,767440000,24118,4370
9593,767440000,767520000,16188,3524
9594,767520000,767600000,12666,2413
9595,767600000,767680000,21583,4061
9596,767680000,767760000,23439,4283
9597,767760000,767840000,15583,3405
9598,767840000,767920000,12957,2604
9599,767920000,768000000,21757,4100
9600,768000000,768080000,20986,3933
9601,768080000,768160000,15869,3517
9602,768160000,768240000,13770,2829
9603,768240000,768320000,21516,4087
9604,768320000,768400000,19861,3675
9605,768400000,768480000,15629,3438
9606,768480000,768560000,16189,3178
9607,768560000,768640000,22090,4101
9608,768640000,768720000,18084,3669
9609,768720000,768800000,15356,3207
9610,768800000,768880000,17137,3400
9611,768880000,768960000,22973,4102
9612,768960000,769040000,18023,3638
9613,769040000,769120000,14881,3108
9614,769120000,769200000,17878,3532
9615,769200000,769280000,22926,4195
9616,769280000,769360000,17109,3613
9617,769360000,769440000,13100,2694
9618,769440000,769520000,19604,3864
9619,769520000,769600000,22239,4226
9620,769600000,769680000,16888,3600
